Year,Africa,America,Asia,Australia and New Zealand,Europe,World,India
1950,3092.8,11827.9,2000.2,14852.8,7441.5,4082,1088.978
1951,3190,12483.8,2067.4,14805.9,7394.9,4221.4,1108.58
1952,3254,12759.4,2190.1,14712.4,7601,4359.3,1164.949
1953,3309,13057.2,2287.3,14919,8002,4530.1,1179.472
1954,3405.8,12913.1,2342.5,15910,8391.7,4610.9,1219.724
1955,3447.7,13697.7,2462.9,16431.4,9275.2,4916.9,1306.697
1956,3510.1,13910.3,2606.5,16758.5,9117.7,4969.3,1313.316
1957,3589.7,14045.9,2677.9,16794.3,9490.9,5106.1,1345.551
1958,3578.3,13843.9,2801.7,17305.1,9668,5146.6,1300.632
1959,3705.8,14414.4,2830.5,17898.7,10048,5346.8,1369.252
1960,3798.5,14638.2,2956.1,18166.1,11182.3,5612.1,1417.183
1961,3741.3,14996.3,3517.8,18270,11725.9,6094.5,1470.075
1962,3798.7,15653.8,3670.8,18454.9,12199.4,6364.4,1528.796
1963,4056.9,16013.4,3737.6,19115.2,12638.3,6595.4,1502.008
1964,4229,16725,4064.3,20162.2,13158.4,6924.7,1587.656
1965,4343.4,17428.6,4677.6,20944.6,13626,7487.3,1655.581
1966,4344.8,18130,4895.6,20817,14132.5,7784.1,1570.621
1967,4290.5,18320.7,4987.4,21193.3,14533.7,7904,1568.542
1968,4372.2,18923.7,5163.3,21454.7,15120.3,8165.8,1641.863
1969,4625.7,19233.7,5310.1,22558.6,15968.9,8470.6,1665.058
1970,4815.3,19069.9,5601.6,23976.4,16551.8,8685.4,1749.483
1971,4954.4,19312.1,5781.7,24072.1,17007.4,8892.1,1773.071
1972,5057.4,20057.5,5927.8,24870.9,17631.6,9171.9,1772.445
1973,5171.9,20963.6,6358.4,25595.6,18743.1,9692.7,1693.499
1974,5483.4,20744.5,6476.7,25581.3,19104.6,9781.7,1725.283
1975,5362.8,20210.8,6522.2,25451.4,18618.3,9582.5,1704.738
1976,5546.3,20814.9,6684.5,25656.8,19488.2,9871.4,1822.356
1977,5537.1,21263.5,6763.8,25711,19917.8,10027.8,1811.674
1978,5493.8,21744.5,6807.9,25371.8,20405.6,10160.8,1883.221
1979,5589,21988.4,6925.5,25931,20954.1,10360,1936.274
1980,5676.6,21742.7,6966.4,26086.2,21975.9,10466,1795.079
1981,5452.8,21563.2,7027.2,26753.3,21786.3,10409.5,1873.719
1982,5345.1,20623.4,6999.6,26236.2,21700.4,10230.2,1932.863
1983,5170.7,20369.4,7038.3,25608.1,21898.4,10172.1,1927.573
1984,5216.8,21291,7077.3,26167,22324.5,10377.4,2018.649
1985,5216.1,21609.1,7069.4,26773.4,22650.9,10458,2029.972
1986,5175.2,21738.4,7154.2,27069.5,23120.7,10541.2,2086.13
1987,5138.3,22289.2,7187.3,27120.3,23471.3,10654.1,2127.907
1988,5221,22757.9,7368.3,28142.5,24185.9,10896.9,2146.508
1989,5247.4,22851.5,7471.7,28329.5,24799.2,11024.4,2294.256
1990,5235.2,22643.8,7486,28319.4,24896.2,10996.8,2363.918
1991,5160.5,22419.8,6494.9,27181.2,24429,10905,2435.465
1992,5079.2,22704.5,6338.5,26823,24194.1,10775.7,2388.827
1993,4931.8,23225.2,6307.3,27913.2,23856.2,10743.1,2453.938
1994,4904.8,23903.2,6238.7,28815.3,24380.9,10828.7,2516.446
1995,4933.3,23997.5,6332.5,29294.5,25015.6,10938.2,2621.288
1996,5043.9,24466.4,6468,29975,25365.3,11103.9,2740.817
1997,5127.4,25268.8,6639.4,30938.5,26040.6,11379.5,2888.929
1998,5160.3,25861.3,6445,31371.8,26765.3,11385.8,2919.889
1999,5136.4,26192.1,6533.6,33170.7,27564.5,11548.4,3024.324
2000,5184,27002.7,6858.4,34049.5,28361.7,11942.3,3207.831
2001,5276.9,26716.8,6928.8,34308,28747.1,11959.6,3239.298
2002,5394.2,26414,7158.7,35151.6,28860.4,12060.5,3317.788
2003,5493.1,26412.2,7430.4,35774,29128.5,12245.1,3360.159
2004,5624.9,27228.8,7909.5,36767.5,29836.6,12729.9,3542.698
2005,5825.6,27784.5,8286.3,36979.3,30362.8,13105.7,3722.473
2006,6018.7,28429.9,8789.5,37299.9,31347.6,13608.7,3956.63
2007,6206.3,28521.6,9350.9,37867.5,31972.2,14031.5,4204.284
2008,6329.5,28168.4,9633.3,38251.9,31970.5,14142.2,4530.016
2009,6333.8,26798.3,9496.3,38108,30592.6,13690.2,4552.916
2010,6485.5,27683.4,10077.5,38039.5,30776.4,14200.7,4830.107
2011,6427.7,28238.8,10594.5,38297.1,31020.9,14597.8,5189.046
2012,6611.4,28756.2,10933,38456,30633.1,14846.8,5397.623
2013,6660.9,28985.1,11351.4,39161.2,30657,15128.9,5501.803
2014,6743.1,29293.6,11787.3,38999.7,31074.4,15474.7,5722.81
2015,6785.8,29507.9,12127.4,38581.9,31638.4,15747.5,6093.137
2016,6736.1,29048,12585,39303.7,32175.6,15998.1,6552.317
2017,6719.9,29214.5,13053.8,39722.4,33030.5,16366,6913.106
2018,6723.8,29295.3,13436.2,39513,33680.4,16647.1,7211.372
2019,6710.3,29179.6,13750.4,39406.4,33738.4,16803.1,7406.311
2020,6326.9,27194.7,13248.1,37665.1,31124.3,15894.7,6602.133
2021,6443.5,28702.2,14130.3,39496.5,32919.5,16815,7434.243
