Year,Asia
1980,0.087
1981,0.0891
1982,0.0924
1983,0.0923
1984,0.0966
1985,0.0966
1986,0.0947
1987,0.0956
1988,0.0937
1989,0.0932
1990,0.0938
1991,0.0922
1992,0.0938
1993,0.0954
1994,0.0974
1995,0.101
1996,0.1011
1997,0.1041
1998,0.1072
1999,0.1073
2000,0.1049
2001,0.1037
2002,0.1017
2003,0.0994
2004,0.0987
2005,0.0964
2006,0.097
2007,0.096
2008,0.0964
2009,0.0988
2010,0.0974
2011,0.0971
2012,0.0979
2013,0.0975
2014,0.097
2015,0.0982
2016,0.1001
2017,0.101
2018,0.1004
2019,0.1014
2020,0.0986
2021,0.1004
