continent,year,Carbon_fp,iso_code
Africa,1980,1520.423,NER
Africa,1981,1404.17,NER
Africa,1982,1390.128,NER
Africa,1983,1379.697,NER
Africa,1984,1414.828,NER
Africa,1985,1445.484,NER
Africa,1986,1470.547,NER
Africa,1987,1458.72,NER
Africa,1988,1481.978,NER
Africa,1989,1453.287,NER
Africa,1990,1433.332,NER
Africa,1991,1456.551,NER
Africa,1992,1495.869,NER
Africa,1993,1536.467,NER
Africa,1994,1541.504,NER
Africa,1995,1581.531,NER
Africa,1996,1589.854,NER
Africa,1997,1585.261,NER
Africa,1998,1611.078,NER
Africa,1999,1596.389,NER
Africa,2000,1574.678,NER
Africa,2001,1605.705,NER
Africa,2002,1605.497,NER
Africa,2003,1714.53,NER
Africa,2004,1765.402,NER
Africa,2005,1826.191,NER
Africa,2006,1817.325,NER
Africa,2007,1894.293,NER
Africa,2008,1976.647,NER
Africa,2009,2020.489,NER
Africa,2010,2074.762,NER
Africa,2011,2096.84,NER
Africa,2012,2152.227,NER
Africa,2013,2230.719,NER
Africa,2014,2281.912,NER
Africa,2015,2318.811,NER
Africa,2016,2373.827,NER
Africa,2017,2432.78,NER
Africa,2018,2459.527,NER
Africa,2019,2492.173,NER
Africa,2020,2429.869,NER
Asia,1980,10961.66,AFG
Asia,1981,10726.67,AFG
Asia,1982,10985.11,AFG
Asia,1983,11266.08,AFG
Asia,1984,11448.44,AFG
Asia,1985,11891.1,AFG
Asia,1986,12058.6,AFG
Asia,1987,12437.45,AFG
Asia,1988,13177.81,AFG
Asia,1989,13514.23,AFG
Asia,1990,13208.66,AFG
Asia,1991,13325.9,AFG
Asia,1992,12415.96,AFG
Asia,1993,12898.88,AFG
Asia,1994,12943.25,AFG
Asia,1995,13285.91,AFG
Asia,1996,13703.29,AFG
Asia,1997,13586.77,AFG
Asia,1998,12831.87,AFG
Asia,1999,13220.62,AFG
Asia,2000,13554.57,AFG
Asia,2001,13894.24,AFG
Asia,2002,14353.11,AFG
Asia,2003,15349.64,AFG
