Year,usa_personal,france_personal,uk_personal,japan_personal,india_personal,china_personal,usa_public,france_public,uk_public,japan_public,india_public,china_public
1995,139828.1,80075.9,79825.4,17019806,144080,25601.3,-392.7,8677,3550.6,3199638.3,4480.2,30690.9
1996,146946.9,84237.7,82781.8,17196464,153908,29018.8,419.9,7449.9,938.5,3121641.5,5580.8,31297.4
1997,156094.6,88540.2,88688,17192898,165176.3,35251.3,2605.5,6635.8,674,3093431,6608.4,34308.4
1998,170556.5,91763,98977.5,17223252,170237.2,39299,5434.5,6257.7,241.6,3015174.8,6951.1,34511
1999,185825.3,99796.7,109092.3,17655550,179498.1,44212.9,8609.7,7781.9,376.1,2868302.8,7328.8,36712.1
2000,191070.1,107001.7,114908.1,17930530,193929.3,48685.6,11291.3,9453.9,949.7,2706609.5,7616.6,39295.7
2001,188539.4,109637.3,118895.3,17713794,199701.3,53428,12437.9,9452.8,1331.7,2523675.5,6963.1,39600.6
2002,184737.5,112130.5,122145,17529012,208158.7,62243.9,12251.5,9208.8,1152.1,2270998.5,6278.8,39896.5
2003,189954.5,119668.4,129460.2,17636158,216244.8,69807.4,11900.3,9577.8,782,2074553.4,7547.3,40559.6
2004,209259.5,131924.1,136340.8,17741172,233158.1,77983.4,11065.8,11054.7,775.8,1970916.1,8656.3,44509.6
2005,226078.6,146109.7,142724.5,18107406,250960.3,89369.9,11214.1,13592.5,1101.9,1983945.1,8879.1,46624.9
2006,235691.4,159467,147506.7,18757496,272448.7,100878.6,13973.7,16964.6,1682.9,2105301.3,8044.9,50937.3
2007,236363,167768.3,151523.1,19000110,295460.1,113565.2,15648.6,19588.3,1360.4,2222073.5,5577.5,66527.5
2008,213604.7,162302.9,142973.1,18716260,326443.7,118921.7,10648.5,17816.7,-770.5,2038216.8,3875.1,66468.5
2009,193488.5,156831.3,134814.4,18304174,335507.5,137810.7,1375.7,14528.2,-3605.7,1581002.5,-433.9,64343.9
2010,197744.5,162759.8,134988.8,18636826,362960.8,151099.1,-5199.6,13760,-5373.3,1192322.1,-7522.3,78086.9
2011,199505.5,167194.3,136852.4,18960832,399411.3,157513.2,-9514.1,13092.8,-8198.8,797733.6,-14579.9,83348.8
2012,204122.5,166856.5,138592.7,19301976,428841,174567.9,-12270.7,10829.2,-10831.1,500032.6,-25076.1,87876.2
2013,221536.3,166651.2,139079.1,19966570,446597.3,193721.2,-13892.4,9082.8,-10927.5,493261.2,-22677.3,100942
2014,238872.5,165657.3,145412,20236080,483890.3,210929.8,-15148.2,6973,-12091.1,573310.5,-24486.2,110911.3
2015,251036.8,165433,155293.8,20146514,518491.5,231769,-16826.5,4310.3,-13865.3,474012.4,-23053.8,116814.8
2016,258865.6,169691.9,160569.7,20284302,553831.4,255191.5,-17818.6,3368.9,-15239.2,282969.3,-20349.9,121107.8
2017,273765.8,176141.6,164739.2,20754152,582463.7,268185.6,-17494,3736.8,-15693.9,247552.1,-19265.8,128874.6
2018,278873.8,180078.2,163515.8,20981276,601406.9,287776.2,-17717.8,4725.7,-14444.5,265673.4,-17481.4,134651
2019,292668,185371.1,163907.6,21085658,619848.6,319316.9,-18414.6,5205.2,-14756,265766.2,-16656.8,136770.6
2020,301352.1,168151.6,153570.4,19987598,561673.3,324438.5,-32714.5,-3617.4,-24926.4,-1148983.4,-41238.9,141356.7
