Year,Asia
1980,0.2326
1981,0.2292
1982,0.2141
1983,0.2074
1984,0.2042
1985,0.2007
1986,0.2053
1987,0.2059
1988,0.2099
1989,0.212
1990,0.2207
1991,0.2197
1992,0.2183
1993,0.2211
1994,0.2213
1995,0.2241
1996,0.2273
1997,0.2227
1998,0.222
1999,0.2223
2000,0.2267
2001,0.2287
2002,0.2263
2003,0.2286
2004,0.2283
2005,0.2276
2006,0.2276
2007,0.2248
2008,0.2212
2009,0.2134
2010,0.209
2011,0.2084
2012,0.2039
2013,0.2001
2014,0.1984
2015,0.1969
2016,0.1958
2017,0.1925
2018,0.191
2019,0.1888
2020,0.1878
2021,0.1865
