Percent,Year,Fraction,,,,,,,,
"Top_1
",1980,0.1043,,,,,,,,
"Top_1
",1981,0.1066,,,,,,,,
"Top_1
",1982,0.1099,,,,,,,,
"Top_1
",1983,0.1148,,,,,,,,
"Top_1
",1984,0.1215,,,,,,,,
"Top_1
",1985,0.123,,,,,,,,
"Top_1
",1986,0.1197,,,,,,,,
"Top_1
",1987,0.1323,,,,,,,,
"Top_1
",1988,0.1522,,,,,,,,
"Top_1
",1989,0.147,,,,,,,,
"Top_1
",1990,0.147,,,,,,,,
"Top_1
",1991,0.1365,,,,,,,,
"Top_1
",1992,0.1468,,,,,,,,
"Top_1
",1993,0.1414,,,,,,,,
"Top_1
",1994,0.1404,,,,,,,,
"Top_1
",1995,0.1452,,,,,,,,
"Top_1
",1996,0.1524,,,,,,,,
"Top_1
",1997,0.1598,,,,,,,,
"Top_1
",1998,0.1632,,,,,,,,
"Top_1
",1999,0.1676,,,,,,,,
"Top_1
",2000,0.1735,,,,,,,,
"Top_1
",2001,0.166,,,,,,,,
"Top_1
",2002,0.161,,,,,,,,
"Top_1
",2003,0.1633,,,,,,,,
"Top_1
",2004,0.1706,,,,,,,,
"Top_1
",2005,0.1806,,,,,,,,
"Top_1
",2006,0.1852,,,,,,,,
"Top_1
",2007,0.1837,,,,,,,,
"Top_1
",2008,0.1794,,,,,,,,
"Top_1
",2009,0.1671,,,,,,,,
"Top_1
",2010,0.179,,,,,,,,
"Top_1
",2011,0.1808,,,,,,,,
"Top_1
",2012,0.1948,,,,,,,,
"Top_1
",2013,0.1847,,,,,,,,
"Top_1
",2014,0.1897,,,,,,,,
"Top_1
",2015,0.1889,,,,,,,,
"Top_1
",2016,0.1867,,,,,,,,
"Top_1
",2017,0.1905,,,,,,,,
"Top_1
",2018,0.1925,,,,,,,,
"Top_1
",2019,0.1906,,,,,,,,
"Top_1
",2020,0.1906,,,,,,,,
"Top_1
",2021,0.1906,,,,,,,,
"Bottom_50
",1980,0.2009,,,,,,,,
"Bottom_50
",1981,0.197,,,,,,,,
"Bottom_50
",1982,0.1913,,,,,,,,
"Bottom_50
",1983,0.1834,,,,,,,,
"Bottom_50
",1984,0.1795,,,,,,,,
"Bottom_50
",1985,0.1782,,,,,,,,
"Bottom_50
",1986,0.1761,,,,,,,,
"Bottom_50
",1987,0.1736,,,,,,,,
"Bottom_50
",1988,0.1687,,,,,,,,
"Bottom_50
",1989,0.1698,,,,,,,,
"Bottom_50
",1990,0.1686,,,,,,,,
"Bottom_50
",1991,0.1671,,,,,,,,
"Bottom_50
",1992,0.1599,,,,,,,,
"Bottom_50
",1993,0.1612,,,,,,,,
"Bottom_50
",1994,0.1613,,,,,,,,
"Bottom_50
",1995,0.1575,,,,,,,,
"Bottom_50
",1996,0.1549,,,,,,,,
"Bottom_50
",1997,0.1526,,,,,,,,
"Bottom_50
",1998,0.1528,,,,,,,,
"Bottom_50
",1999,0.1518,,,,,,,,
"Bottom_50
",2000,0.1507,,,,,,,,
"Bottom_50
",2001,0.1528,,,,,,,,
"Bottom_50
",2002,0.1538,,,,,,,,
"Bottom_50
",2003,0.1508,,,,,,,,
"Bottom_50
",2004,0.148,,,,,,,,
"Bottom_50
",2005,0.1436,,,,,,,,
"Bottom_50
",2006,0.1406,,,,,,,,
"Bottom_50
",2007,0.1433,,,,,,,,
"Bottom_50
",2008,0.1431,,,,,,,,
"Bottom_50
",2009,0.1426,,,,,,,,
"Bottom_50
",2010,0.1382,,,,,,,,
"Bottom_50
",2011,0.1354,,,,,,,,
"Bottom_50
",2012,0.1316,,,,,,,,
"Bottom_50
",2013,0.1344,,,,,,,,
"Bottom_50
",2014,0.1312,,,,,,,,
"Bottom_50
",2015,0.1318,,,,,,,,
"Bottom_50
",2016,0.1303,,,,,,,,
"Bottom_50
",2017,0.1346,,,,,,,,
"Bottom_50
",2018,0.1332,,,,,,,,
"Bottom_50
",2019,0.1357,,,,,,,,
"Bottom_50
",2020,0.1357,,,,,,,,
"Bottom_50
",2021,0.1357,,,,,,,,
